AMONG ADULT MEN,Adult Men,Age 18 - 34,Age 35 - 64,Age 65 and up,Race_White,Race_Non-white,Has children,No children,Sexual Orientation_Straight,Sexual Orientation_Gay/Bisexual
"In general, how masculine or ""manly"" do you feel? : Very masculine",37%,29%,42%,37%,34%,44%,43%,30%,40%,21%
"In general, how masculine or ""manly"" do you feel? : Somewhat masculine",46%,47%,46%,47%,50%,39%,47%,46%,47%,49%
"In general, how masculine or ""manly"" do you feel? : Not very masculine",11%,13%,9%,13%,11%,11%,6%,17%,10%,19%
"In general, how masculine or ""manly"" do you feel? : Not at all masculine",5%,10%,2%,3%,4%,6%,3%,6%,3%,10%
"In general, how masculine or ""manly"" do you feel? : No answer",1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
How important is it to you that others see you as masculine? : Very important,16%,18%,17%,13%,11%,26%,17%,15%,16%,11%
How important is it to you that others see you as masculine? : Somewhat important,37%,38%,37%,32%,38%,35%,37%,37%,38%,33%
How important is it to you that others see you as masculine? : Not too important,28%,18%,31%,37%,32%,20%,29%,27%,29%,36%
How important is it to you that others see you as masculine? : Not at all important,18%,26%,15%,18%,18%,19%,17%,21%,17%,19%
How important is it to you that others see you as masculine? : No answer,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Father or father figure(s),64%,58%,66%,64%,65%,60%,67%,60%,65%,59%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Mother or mother figure(s),41%,42%,41%,42%,42%,40%,43%,39%,41%,40%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Friends,35%,42%,33%,31%,35%,36%,31%,40%,34%,43%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Other family members,35%,37%,36%,31%,34%,37%,36%,34%,35%,37%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Pop culture,23%,42%,17%,12%,21%,29%,13%,35%,20%,44%
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Other (please specify),17%,11%,18%,21%,18%,13%,20%,12%,18%,10%
Do you think that society puts pressure on men in a way that is unhealthy or bad for them? : Yes,60%,70%,57%,53%,58%,65%,56%,66%,58%,81%
Do you think that society puts pressure on men in a way that is unhealthy or bad for them? : No,39%,29%,42%,47%,41%,35%,44%,34%,41%,19%
Do you think that society puts pressure on men in a way that is unhealthy or bad for them? : No answer,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
Ask a friend for professional advice : Often,15%,26%,12%,5%,11%,23%,12%,18%,14%,26%
Ask a friend for professional advice : Sometimes,42%,36%,46%,40%,43%,39%,44%,40%,42%,43%
Ask a friend for professional advice : Rarely,23%,13%,25%,35%,28%,14%,26%,20%,25%,14%
"Ask a friend for professional advice : Never, but open to it",12%,15%,11%,12%,12%,12%,9%,16%,12%,12%
"Ask a friend for professional advice : Never, and not open to it",7%,9%,5%,6%,5%,10%,7%,6%,7%,4%
Ask a friend for professional advice : No answer,1%,0%,1%,2%,1%,1%,1%,1%,1%,0%
Ask a friend for personal advice : Often,14%,22%,12%,5%,11%,18%,11%,17%,11%,29%
Ask a friend for personal advice : Sometimes,41%,39%,45%,36%,43%,39%,43%,39%,43%,37%
Ask a friend for personal advice : Rarely,27%,17%,28%,39%,29%,22%,31%,23%,29%,20%
"Ask a friend for personal advice : Never, but open to it",10%,11%,9%,10%,10%,9%,8%,12%,9%,11%
"Ask a friend for personal advice : Never, and not open to it",7%,9%,5%,7%,5%,10%,6%,8%,6%,2%
Ask a friend for personal advice : No answer,1%,2%,1%,3%,1%,1%,1%,2%,1%,0%
"Express physical affection to male friends, like hugging, rubbing shoulders : Often",14%,21%,11%,11%,12%,17%,11%,17%,10%,44%
"Express physical affection to male friends, like hugging, rubbing shoulders : Sometimes",28%,25%,31%,25%,29%,27%,29%,27%,29%,23%
"Express physical affection to male friends, like hugging, rubbing shoulders : Rarely",25%,19%,28%,30%,27%,21%,27%,23%,27%,20%
"Express physical affection to male friends, like hugging, rubbing shoulders : Never, but open to it",10%,14%,7%,9%,9%,11%,8%,11%,9%,11%
"Express physical affection to male friends, like hugging, rubbing shoulders : Never, and not open to it",22%,21%,23%,23%,22%,23%,24%,20%,25%,2%
"Express physical affection to male friends, like hugging, rubbing shoulders : No answer",1%,0%,1%,2%,1%,1%,1%,1%,1%,0%
Cry : Often,7%,13%,5%,3%,6%,10%,3%,12%,4%,26%
Cry : Sometimes,33%,35%,33%,30%,33%,32%,32%,33%,30%,48%
Cry : Rarely,38%,30%,42%,41%,41%,32%,42%,34%,41%,23%
"Cry : Never, but open to it",10%,8%,10%,12%,11%,8%,11%,8%,11%,2%
"Cry : Never, and not open to it",9%,14%,6%,6%,6%,15%,7%,10%,10%,1%
Cry : No answer,4%,0%,4%,9%,4%,3%,5%,3%,5%,1%
Get in a physical fight with another person : Often,2%,5%,1%,0%,0%,5%,1%,3%,2%,5%
Get in a physical fight with another person : Sometimes,5%,10%,2%,5%,5%,5%,4%,6%,4%,4%
Get in a physical fight with another person : Rarely,23%,22%,26%,17%,22%,25%,24%,21%,25%,14%
"Get in a physical fight with another person : Never, but open to it",19%,19%,21%,14%,20%,17%,21%,17%,19%,16%
"Get in a physical fight with another person : Never, and not open to it",50%,43%,50%,64%,52%,47%,49%,52%,50%,61%
Get in a physical fight with another person : No answer,1%,2%,1%,1%,0%,3%,0%,2%,1%,0%
"Have sexual relations with women, including anything from kissing to sex : Often",37%,41%,39%,28%,39%,34%,45%,29%,42%,12%
"Have sexual relations with women, including anything from kissing to sex : Sometimes",26%,11%,31%,34%,25%,27%,27%,24%,28%,6%
"Have sexual relations with women, including anything from kissing to sex : Rarely",13%,14%,12%,16%,14%,12%,12%,14%,13%,8%
"Have sexual relations with women, including anything from kissing to sex : Never, but open to it",10%,19%,6%,9%,9%,13%,7%,15%,8%,25%
"Have sexual relations with women, including anything from kissing to sex : Never, and not open to it",11%,16%,10%,9%,11%,13%,7%,17%,6%,47%
"Have sexual relations with women, including anything from kissing to sex : No answer",2%,0%,2%,4%,2%,2%,2%,1%,2%,2%
"Have sexual relations with men, including anything from kissing to sex : Often",5%,10%,4%,1%,4%,8%,1%,9%,0%,41%
"Have sexual relations with men, including anything from kissing to sex : Sometimes",4%,6%,4%,2%,3%,7%,2%,7%,2%,21%
"Have sexual relations with men, including anything from kissing to sex : Rarely",3%,6%,2%,1%,4%,2%,1%,6%,2%,18%
"Have sexual relations with men, including anything from kissing to sex : Never, but open to it",6%,12%,3%,6%,5%,8%,4%,9%,3%,17%
"Have sexual relations with men, including anything from kissing to sex : Never, and not open to it",80%,65%,86%,86%,83%,74%,91%,68%,92%,2%
"Have sexual relations with men, including anything from kissing to sex : No answer",1%,0%,1%,4%,1%,1%,1%,1%,1%,1%
Watch sports of any kind : Often,38%,29%,41%,44%,38%,38%,44%,32%,42%,19%
Watch sports of any kind : Sometimes,25%,19%,28%,28%,25%,24%,26%,23%,28%,10%
Watch sports of any kind : Rarely,18%,24%,16%,15%,18%,18%,14%,22%,14%,41%
"Watch sports of any kind : Never, but open to it",5%,7%,4%,6%,6%,5%,6%,5%,5%,7%
"Watch sports of any kind : Never, and not open to it",13%,20%,11%,7%,12%,14%,9%,17%,10%,23%
Watch sports of any kind : No answer,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%
Work out : Often,21%,30%,16%,20%,19%,25%,17%,26%,21%,24%
Work out : Sometimes,32%,31%,36%,24%,31%,36%,34%,30%,34%,23%
Work out : Rarely,28%,25%,28%,29%,28%,26%,29%,26%,27%,33%
"Work out : Never, but open to it",10%,7%,12%,9%,12%,6%,11%,9%,9%,10%
"Work out : Never, and not open to it",7%,7%,5%,13%,8%,5%,7%,7%,6%,8%
Work out : No answer,2%,0%,2%,6%,2%,2%,3%,1%,2%,1%
See a therapist : Often,5%,9%,4%,1%,4%,5%,4%,6%,4%,12%
See a therapist : Sometimes,9%,10%,9%,8%,9%,9%,8%,10%,8%,9%
See a therapist : Rarely,15%,11%,17%,14%,15%,14%,17%,13%,15%,22%
"See a therapist : Never, but open to it",37%,35%,39%,35%,38%,34%,38%,35%,38%,36%
"See a therapist : Never, and not open to it",32%,36%,28%,38%,31%,34%,31%,34%,33%,22%
See a therapist : No answer,2%,0%,3%,4%,2%,3%,2%,2%,2%,0%
Feel lonely or isolated : Often,17%,24%,17%,7%,17%,18%,11%,24%,14%,32%
Feel lonely or isolated : Sometimes,29%,32%,31%,20%,28%,33%,28%,31%,30%,30%
Feel lonely or isolated : Rarely,31%,26%,30%,43%,36%,21%,35%,27%,32%,28%
"Feel lonely or isolated : Never, but open to it",5%,3%,6%,6%,4%,7%,6%,4%,5%,3%
"Feel lonely or isolated : Never, and not open to it",15%,15%,14%,21%,14%,18%,17%,13%,17%,5%
Feel lonely or isolated : No answer,2%,0%,3%,2%,1%,3%,3%,1%,2%,2%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your weight,54%,45%,59%,53%,53%,56%,54%,55%,54%,64%
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your finances, including your current or future income, assets, or debt",53%,53%,60%,34%,54%,51%,52%,55%,51%,74%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your physical health,49%,42%,52%,54%,53%,43%,49%,50%,50%,52%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your physique,33%,40%,34%,23%,35%,31%,28%,40%,31%,58%
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your ability to provide for your family, current or anticipated",32%,33%,39%,13%,31%,35%,38%,26%,34%,25%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your mental health,32%,45%,30%,17%,33%,30%,25%,40%,31%,42%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Sexual performance or amount of sex,23%,24%,26%,16%,23%,25%,24%,23%,21%,35%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your hair or hairline,19%,33%,16%,7%,17%,23%,13%,26%,18%,24%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your clothing or style,18%,31%,15%,9%,15%,26%,12%,26%,16%,40%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Appearance of your genitalia,13%,17%,13%,6%,13%,12%,10%,16%,11%,23%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : Your height,6%,12%,4%,1%,4%,10%,4%,9%,5%,12%
Which of the following do you worry about on a daily or near daily basis? (Select all that apply.) : None of the above,13%,10%,12%,19%,14%,10%,13%,12%,13%,9%
"Which of the following categories best describes your employment status? : Employed, working full-time",48%,40%,64%,17%,45%,54%,56%,39%,51%,37%
